Path Search Parameters:
Distance delta -> 18px
Angle delta -> 20°
---------------
Path characteristics:
Distance -> 1281.8701482212168px
Sum angles -> 150.94041186367485°
---------------
Pathfinding time -> 1 day, 3:34:59.153563
---------------
Points of path:
Point(165, 305)
Point(171, 322)
Point(177, 339)
Point(183, 356)
Point(189, 373)
Point(195, 390)
Point(201, 407)
Point(207, 424)
Point(217, 439)
Point(231, 450)
Point(248, 457)
Point(265, 464)
Point(282, 471)
Point(299, 478)
Point(316, 485)
Point(333, 492)
Point(350, 499)
Point(367, 505)
Point(385, 509)
Point(399, 520)
Point(412, 532)
Point(425, 544)
Point(438, 556)
Point(451, 568)
Point(463, 581)
Point(475, 594)
Point(487, 607)
Point(503, 616)
Point(520, 623)
Point(537, 629)
Point(555, 633)
Point(573, 637)
Point(591, 641)
Point(609, 645)
Point(627, 649)
Point(645, 653)
Point(663, 657)
Point(681, 661)
Point(699, 665)
Point(717, 669)
Point(735, 673)
Point(753, 677)
Point(771, 680)
Point(789, 683)
Point(807, 686)
Point(825, 689)
Point(843, 692)
Point(861, 695)
Point(879, 697)
Point(897, 699)
Point(915, 701)
Point(933, 703)
Point(951, 705)
Point(969, 706)
Point(987, 707)
Point(1005, 708)
Point(1023, 709)
Point(1041, 710)
Point(1059, 710)
Point(1077, 709)
Point(1095, 708)
Point(1113, 707)
Point(1131, 706)
Point(1149, 704)
Point(1167, 702)
Point(1185, 700)
Point(1203, 698)
Point(1221, 696)
Point(1239, 694)
Point(1257, 692)
Point(1275, 690)
Point(1287, 689)
---------------
