Path Search Parameters:
Distance delta -> 5px
Angle delta -> 25°
---------------
Path characteristics:
Distance -> 1280.6462847083594px
Sum angles -> 229.37154666868395°
---------------
Pathfinding time -> 1 day, 1:32:37.555539
---------------
Points of path:
Point(165, 305)
Point(167, 310)
Point(169, 315)
Point(171, 320)
Point(173, 325)
Point(175, 330)
Point(177, 335)
Point(179, 340)
Point(181, 345)
Point(183, 350)
Point(185, 355)
Point(187, 360)
Point(189, 365)
Point(191, 370)
Point(192, 375)
Point(193, 380)
Point(194, 385)
Point(195, 390)
Point(197, 395)
Point(199, 400)
Point(201, 405)
Point(203, 410)
Point(205, 415)
Point(207, 420)
Point(209, 425)
Point(211, 430)
Point(214, 434)
Point(218, 437)
Point(222, 440)
Point(226, 443)
Point(230, 446)
Point(235, 448)
Point(240, 450)
Point(245, 452)
Point(250, 454)
Point(255, 456)
Point(260, 458)
Point(265, 460)
Point(270, 462)
Point(275, 464)
Point(280, 466)
Point(285, 468)
Point(290, 470)
Point(295, 472)
Point(300, 474)
Point(305, 476)
Point(310, 478)
Point(315, 480)
Point(320, 482)
Point(325, 484)
Point(330, 486)
Point(335, 488)
Point(340, 490)
Point(345, 492)
Point(350, 494)
Point(355, 496)
Point(360, 498)
Point(365, 500)
Point(370, 502)
Point(375, 504)
Point(380, 506)
Point(385, 508)
Point(389, 511)
Point(393, 514)
Point(397, 517)
Point(401, 520)
Point(405, 523)
Point(409, 526)
Point(413, 529)
Point(417, 532)
Point(421, 535)
Point(425, 538)
Point(429, 541)
Point(433, 544)
Point(437, 547)
Point(441, 550)
Point(445, 553)
Point(449, 556)
Point(453, 559)
Point(457, 562)
Point(460, 566)
Point(463, 570)
Point(466, 574)
Point(469, 578)
Point(472, 582)
Point(475, 586)
Point(478, 590)
Point(481, 594)
Point(484, 598)
Point(487, 602)
Point(490, 606)
Point(493, 610)
Point(497, 613)
Point(502, 615)
Point(507, 617)
Point(512, 619)
Point(517, 620)
Point(522, 621)
Point(527, 622)
Point(532, 623)
Point(537, 624)
Point(542, 625)
Point(547, 626)
Point(552, 627)
Point(557, 628)
Point(562, 629)
Point(567, 630)
Point(572, 631)
Point(577, 632)
Point(582, 633)
Point(587, 634)
Point(592, 635)
Point(597, 636)
Point(602, 637)
Point(607, 638)
Point(612, 639)
Point(617, 640)
Point(622, 641)
Point(627, 642)
Point(632, 643)
Point(637, 644)
Point(642, 645)
Point(647, 646)
Point(652, 647)
Point(657, 648)
Point(662, 649)
Point(667, 650)
Point(672, 651)
Point(677, 651)
Point(682, 651)
Point(687, 651)
Point(692, 651)
Point(697, 651)
Point(702, 651)
Point(707, 651)
Point(712, 651)
Point(717, 651)
Point(722, 651)
Point(727, 651)
Point(732, 651)
Point(737, 651)
Point(742, 651)
Point(747, 651)
Point(752, 651)
Point(757, 651)
Point(762, 651)
Point(767, 651)
Point(772, 651)
Point(777, 651)
Point(782, 651)
Point(787, 651)
Point(792, 651)
Point(797, 651)
Point(802, 651)
Point(807, 651)
Point(812, 651)
Point(817, 651)
Point(822, 651)
Point(827, 651)
Point(832, 651)
Point(837, 651)
Point(842, 651)
Point(847, 651)
Point(852, 651)
Point(857, 651)
Point(862, 651)
Point(867, 651)
Point(872, 651)
Point(877, 651)
Point(882, 651)
Point(887, 651)
Point(892, 651)
Point(897, 651)
Point(902, 651)
Point(907, 651)
Point(912, 651)
Point(917, 651)
Point(922, 651)
Point(927, 651)
Point(932, 651)
Point(937, 651)
Point(942, 651)
Point(947, 651)
Point(952, 651)
Point(957, 651)
Point(962, 652)
Point(967, 653)
Point(972, 654)
Point(977, 655)
Point(982, 655)
Point(987, 655)
Point(992, 655)
Point(997, 655)
Point(1002, 655)
Point(1007, 655)
Point(1012, 655)
Point(1017, 655)
Point(1022, 655)
Point(1027, 655)
Point(1032, 655)
Point(1037, 655)
Point(1042, 655)
Point(1047, 655)
Point(1052, 655)
Point(1057, 655)
Point(1062, 655)
Point(1067, 655)
Point(1072, 654)
Point(1077, 653)
Point(1082, 652)
Point(1087, 651)
Point(1092, 650)
Point(1097, 649)
Point(1102, 648)
Point(1107, 649)
Point(1112, 650)
Point(1117, 651)
Point(1122, 652)
Point(1127, 653)
Point(1132, 654)
Point(1137, 655)
Point(1142, 656)
Point(1147, 657)
Point(1152, 658)
Point(1157, 659)
Point(1162, 660)
Point(1167, 661)
Point(1172, 662)
Point(1177, 663)
Point(1182, 664)
Point(1187, 665)
Point(1192, 666)
Point(1197, 667)
Point(1202, 668)
Point(1207, 669)
Point(1212, 670)
Point(1217, 671)
Point(1222, 672)
Point(1227, 673)
Point(1232, 674)
Point(1237, 675)
Point(1242, 676)
Point(1247, 677)
Point(1252, 678)
Point(1257, 679)
Point(1262, 680)
Point(1267, 682)
Point(1272, 684)
Point(1277, 686)
Point(1282, 688)
Point(1287, 689)
---------------
