Path Search Parameters:
Distance delta -> 5px
Angle delta -> 25°
---------------
Path characteristics:
Distance -> 1284.3544599887023px
Sum angles -> 163.14886274793992°
---------------
Pathfinding time -> 1 day, 6:26:45.856698
---------------
Points of path:
Point(165, 305)
Point(167, 310)
Point(169, 315)
Point(171, 320)
Point(173, 325)
Point(175, 330)
Point(177, 335)
Point(179, 340)
Point(181, 345)
Point(183, 350)
Point(185, 355)
Point(187, 360)
Point(189, 365)
Point(191, 370)
Point(192, 375)
Point(193, 380)
Point(194, 385)
Point(195, 390)
Point(197, 395)
Point(199, 400)
Point(201, 405)
Point(203, 410)
Point(205, 415)
Point(207, 420)
Point(209, 425)
Point(211, 430)
Point(214, 434)
Point(218, 437)
Point(222, 440)
Point(226, 443)
Point(230, 446)
Point(235, 448)
Point(240, 450)
Point(245, 452)
Point(250, 454)
Point(255, 456)
Point(260, 458)
Point(265, 460)
Point(270, 462)
Point(275, 464)
Point(280, 466)
Point(285, 468)
Point(290, 470)
Point(295, 472)
Point(300, 474)
Point(305, 476)
Point(310, 478)
Point(315, 480)
Point(320, 482)
Point(325, 484)
Point(330, 486)
Point(335, 488)
Point(340, 490)
Point(345, 492)
Point(350, 494)
Point(355, 496)
Point(360, 498)
Point(365, 500)
Point(370, 502)
Point(375, 504)
Point(380, 506)
Point(385, 508)
Point(389, 511)
Point(393, 514)
Point(397, 517)
Point(401, 520)
Point(405, 523)
Point(409, 526)
Point(413, 529)
Point(417, 532)
Point(421, 535)
Point(425, 538)
Point(429, 541)
Point(433, 544)
Point(437, 547)
Point(441, 550)
Point(445, 553)
Point(449, 556)
Point(453, 559)
Point(457, 562)
Point(460, 566)
Point(463, 570)
Point(466, 574)
Point(469, 578)
Point(472, 582)
Point(475, 586)
Point(478, 590)
Point(481, 594)
Point(484, 598)
Point(487, 602)
Point(490, 606)
Point(493, 610)
Point(497, 613)
Point(502, 615)
Point(507, 617)
Point(512, 619)
Point(517, 621)
Point(522, 623)
Point(527, 625)
Point(532, 627)
Point(537, 629)
Point(542, 631)
Point(547, 633)
Point(552, 635)
Point(557, 637)
Point(562, 638)
Point(567, 639)
Point(572, 640)
Point(577, 641)
Point(582, 642)
Point(587, 643)
Point(592, 644)
Point(597, 645)
Point(602, 646)
Point(607, 647)
Point(612, 648)
Point(617, 649)
Point(622, 650)
Point(627, 651)
Point(632, 652)
Point(637, 653)
Point(642, 654)
Point(647, 655)
Point(652, 656)
Point(657, 657)
Point(662, 658)
Point(667, 659)
Point(672, 660)
Point(677, 661)
Point(682, 662)
Point(687, 663)
Point(692, 664)
Point(697, 665)
Point(702, 666)
Point(707, 667)
Point(712, 668)
Point(717, 669)
Point(722, 670)
Point(727, 671)
Point(732, 672)
Point(737, 673)
Point(742, 674)
Point(747, 675)
Point(752, 676)
Point(757, 677)
Point(762, 678)
Point(767, 679)
Point(772, 680)
Point(777, 681)
Point(782, 682)
Point(787, 683)
Point(792, 684)
Point(797, 685)
Point(802, 686)
Point(807, 687)
Point(812, 688)
Point(817, 689)
Point(822, 690)
Point(827, 691)
Point(832, 692)
Point(837, 693)
Point(842, 694)
Point(847, 695)
Point(852, 696)
Point(857, 697)
Point(862, 698)
Point(867, 699)
Point(872, 700)
Point(877, 701)
Point(882, 702)
Point(887, 703)
Point(892, 704)
Point(897, 705)
Point(902, 706)
Point(907, 707)
Point(912, 708)
Point(917, 709)
Point(922, 710)
Point(927, 710)
Point(932, 710)
Point(937, 710)
Point(942, 710)
Point(947, 710)
Point(952, 710)
Point(957, 710)
Point(962, 710)
Point(967, 710)
Point(972, 710)
Point(977, 710)
Point(982, 710)
Point(987, 710)
Point(992, 710)
Point(997, 710)
Point(1002, 710)
Point(1007, 710)
Point(1012, 710)
Point(1017, 710)
Point(1022, 710)
Point(1027, 710)
Point(1032, 710)
Point(1037, 710)
Point(1042, 710)
Point(1047, 710)
Point(1052, 710)
Point(1057, 710)
Point(1062, 710)
Point(1067, 710)
Point(1072, 710)
Point(1077, 710)
Point(1082, 710)
Point(1087, 710)
Point(1092, 710)
Point(1097, 710)
Point(1102, 710)
Point(1107, 710)
Point(1112, 710)
Point(1117, 710)
Point(1122, 710)
Point(1127, 710)
Point(1132, 710)
Point(1137, 710)
Point(1142, 710)
Point(1147, 710)
Point(1152, 710)
Point(1157, 710)
Point(1162, 710)
Point(1167, 710)
Point(1172, 710)
Point(1177, 710)
Point(1182, 710)
Point(1187, 709)
Point(1192, 708)
Point(1197, 707)
Point(1202, 706)
Point(1207, 705)
Point(1212, 704)
Point(1217, 703)
Point(1222, 702)
Point(1227, 701)
Point(1232, 700)
Point(1237, 699)
Point(1242, 698)
Point(1247, 697)
Point(1252, 696)
Point(1257, 695)
Point(1262, 694)
Point(1267, 693)
Point(1272, 692)
Point(1277, 691)
Point(1282, 690)
Point(1287, 689)
---------------
